nome_completo;cpf;dt_nasc;agencia;conta
Daniela Ribeiro de Araújo;59381523487;11/11/1951;3260;026832-7
Tatiane Ferreira de Farias;00612131440;26/09/1998;3271;009237-3
Ana Ibrahim da Silveira;62630780309;20/09/1957;3348;028607-6
Sérgio Lima da Rocha;42424350450;23/01/1984;3272;000244-0
Ana Mendes da Penha;52285290128;16/10/1971;3180;020604-0
Carlos Pereira de Melo;74178942751;30/07/1963;3226;013185-1
Igor Dias de Brito;10542545756;30/10/1978;3107;024910-4
Ana Henrique da Conceição;26984246482;16/10/1971;3130;025779-6
Fernanda Pereira de Oliveira;90659844613;03/05/1973;3126;025762-7
Sérgio Mendes da Cunha Lima;89275231486;16/06/2002;3185;025454-1
Lucas Esteves de Campos;60963201042;19/03/1969;3189;027785-0
Paulo Almeida da Cruz;97744504186;11/11/1951;3285;010643-0
Otávio Silva do Nascimento;21336720794;26/09/1998;3196;012277-4
Daniela Pereira da Mata;96919389878;13/10/1984;3332;026928-8
Helena Henrique de Jesus;72344444750;10/01/1976;3172;007332-2
Ana Nascimento dos Anjos;94833312000;05/01/1967;3147;021276-1
Victor Dias de Barros;90778316068;24/12/1973;3205;019554-3
Sérgio Almeida da Cruz;31533448922;17/07/1971;3255;023694-0
Paulo Ferreira de Freitas;44856191500;02/05/1982;3141;001554-4
Gabriel Nascimento da Silva;40568995252;16/10/1971;3000;022142-1
Eduardo Lima da Gama;04699159516;30/10/1978;3325;023310-3
Carlos Queiroz de Barros;66806345476;04/07/2003;3157;006907-9
Paulo Henrique da Cunha;06783985180;16/06/2002;3080;025859-6
Mariana Barbosa da Mota;78422602067;02/10/1955;3333;020936-5
Otávio Dias de Assis;13324651298;06/08/1985;3122;015221-9
Juliana Mendes da Mata;51940960622;26/12/1998;3018;015408-7
Bruno Nascimento de Andrade;40307206416;14/12/1966;3262;012372-3
Paulo Ibrahim da Veiga;70570619947;07/11/1970;3005;009832-3
Gabriel Ribeiro da Costa Lima;57021347880;18/02/1977;3102;003276-3
Igor Nascimento de Paula;88852866663;27/11/1951;3055;019664-4
Eduardo Lima da Veiga;76079950723;28/06/2005;3049;021181-7
Paulo Ribeiro da Conceição;74998187562;03/05/1973;3281;022923-0
Gabriel Gonçalves de Carvalho;84280128308;04/02/1981;3103;026233-6
Renata Ibrahim da Rosa;51215757778;24/12/1973;3330;007200-4
Eduardo Cardoso da Gama;06937633700;20/10/1950;3011;006434-8
Tatiane Cardoso da Mata;54344111966;27/11/1951;3007;025225-5
Natália Gonçalves dos Reis;78686347746;13/10/1984;3102;031175-4
Eduardo Queiroz da Costa Lima;44595785909;16/10/1971;3180;022364-8
Natália Barbosa de Castro;36233953820;16/03/1982;3063;004149-1
Yara Cardoso da Cunha Lima;87930472906;25/12/1988;3031;003095-9
Sérgio Almeida de Almeida;18213459083;18/02/1977;3276;008553-2
Ana Ribeiro dos Anjos;49702161428;30/10/1978;3323;004220-8
Fernanda Ibrahim da Cunha;63437604821;27/02/1971;3334;019171-3
Juliana Silva da Costa Lima;00649947673;17/07/1971;3142;031468-0
Daniela Jesus de Melo;27851075270;27/06/1964;3091;022571-2
Daniela Barbosa de Barros;36792433594;03/05/1973;3036;022696-1
Lucas Nascimento da Silva;79747523272;07/12/1964;3233;023455-0
Paulo Barbosa da Mata;36970518817;17/07/1971;3002;011623-0
Carlos Klein de Oliveira;59590133479;05/01/1967;3309;020977-4
Fernanda Gonçalves de Almeida;70344693180;04/07/2003;3271;029790-8
